"customer_type","month","number_of_rides","average_duration_(mins)"
"casual","Jul_21",442048,32.7907668020969
"casual","Aug_21",412662,28.7870135849678
"casual","Jun_22",369044,32.0996102090808
"casual","Sep_21",363883,27.8155314574556
"casual","May_22",280414,30.8697225055335
"casual","Oct_21",257242,28.6739691937294
"casual","Apr_22",126417,29.532427073363
"casual","Nov_21",106898,23.1324480657574
"casual","Mar_22",89880,32.6231836893636
"casual","Dec_21",69738,23.49429077404
"casual","Feb_22",21416,26.708450846719
"casual","Jan_22",18519,30.378955847148
"member","Jun_22",400148,13.9992686456011
"member","Sep_21",392228,13.7355961328615
"member","Aug_21",391661,14.1015605332162
"member","Jul_21",380349,14.2395066986724
"member","Oct_21",373984,12.5020687605174
"member","May_22",354443,13.36667687047
"member","Nov_21",253027,11.309267588044
"member","Apr_22",244832,11.4924041111184
"member","Mar_22",194160,11.9583288696608
"member","Dec_21",177802,11.0049391082965
"member","Feb_22",94193,11.405529427169
"member","Jan_22",85250,11.9815098729228
