"customer_type","day_of_the_week","number_of_rides","average_duration_mins"
"casual","Sat",535565,32.2359935768768
"casual","Sun",467081,34.4561595668988
"casual","Fri",363099,28.2656823621106
"casual","Thu",325171,27.2319157714966
"casual","Mon",303997,30.6254755803511
"casual","Wed",285483,25.7405303176255
"casual","Tue",277765,25.7445336285469
"member","Thu",525932,12.4627944613879
"member","Tue",518239,12.1913189667316
"member","Wed",516545,12.2081221384391
"member","Fri",469253,12.7264548477403
"member","Mon",469039,12.6369161555151
"member","Sat",444150,14.5303666178843
"member","Sun",398919,14.6888705058755
